date,truck_location,marketing_channel,customers,avg_order_value,total_sales,repeat_customers,weather
2025-01-04,Riverside,Food Delivery Apps,20,13.94,278.8,7,Rainy
2025-01-04,Riverside,Local Events,15,13.17,197.55,5,Sunny
2025-01-04,Riverside,Google My Business,21,9.53,200.13,10,Sunny
2025-01-04,Riverside,Loyalty Program,34,12.12,412.08,15,Rainy
2025-01-04,Riverside,Influencer Partnerships,29,7.42,215.18,3,Cloudy
2025-01-04,Riverside,Email Newsletter,10,17.09,170.9,1,Cloudy
2025-01-05,Downtown,Instagram,27,14.97,404.19,6,Cloudy
2025-01-05,Downtown,Food Delivery Apps,9,12.72,114.48,2,Sunny
2025-01-05,Downtown,Local Events,7,18.05,126.35,0,Rainy
2025-01-05,Downtown,Google My Business,20,15.88,317.6,9,Cloudy
2025-01-05,Downtown,Loyalty Program,13,20.22,262.86,1,Cloudy
2025-01-05,Downtown,Influencer Partnerships,22,12.68,278.96,10,Rainy
2025-01-05,Downtown,Email Newsletter,2,20.21,40.42,0,Rainy
2025-01-05,Uptown,Instagram,29,9.18,266.22,8,Rainy
2025-01-05,Uptown,Food Delivery Apps,8,9.17,73.36,0,Sunny
2025-01-05,Uptown,Local Events,12,17.76,213.12,4,Rainy
2025-01-05,Uptown,Google My Business,12,10.93,131.16,4,Sunny
2025-01-05,Uptown,Loyalty Program,9,13.97,125.73,1,Sunny
2025-01-05,Uptown,Influencer Partnerships,15,9.26,138.9,3,Rainy
2025-01-05,Uptown,Email Newsletter,25,14.35,358.75,3,Sunny
2025-01-05,Midtown,Instagram,14,13.48,188.72,3,Sunny
2025-01-05,Midtown,Food Delivery Apps,11,8.75,96.25,2,Cloudy
2025-01-05,Midtown,Local Events,13,8.66,112.58,4,Sunny
2025-01-05,Midtown,Google My Business,18,17.76,319.68,8,Rainy
2025-01-05,Midtown,Loyalty Program,7,13.42,93.94,2,Sunny
2025-01-05,Midtown,Influencer Partnerships,21,7.37,154.77,9,Rainy
2025-01-05,Midtown,Email Newsletter,4,7.61,30.44,1,Sunny
2025-01-05,Suburbia,Instagram,31,14.16,438.96,5,Sunny
2025-01-05,Suburbia,Food Delivery Apps,11,9.49,104.39,5,Cloudy
2025-01-05,Suburbia,Local Events,19,14.03,266.57,5,Cloudy
2025-01-05,Suburbia,Google My Business,3,11.46,34.38,1,Cloudy
2025-01-05,Suburbia,Loyalty Program,5,13.1,65.5,1,Sunny
2025-01-05,Suburbia,Influencer Partnerships,17,12.79,217.43,3,Sunny
2025-01-05,Suburbia,Email Newsletter,18,13.04,234.72,5,Cloudy
2025-01-05,Riverside,Instagram,32,11.44,366.08,4,Cloudy
2025-01-05,Riverside,Food Delivery Apps,17,13.23,224.91,6,Cloudy
2025-01-05,Riverside,Local Events,26,14.0,364.0,9,Rainy
2025-01-05,Riverside,Google My Business,26,14.1,366.6,6,Rainy
2025-01-05,Riverside,Loyalty Program,25,15.69,392.25,9,Rainy
2025-01-05,Riverside,Influencer Partnerships,24,12.86,308.64,9,Sunny
2025-01-05,Riverside,Email Newsletter,15,7.92,118.8,7,Cloudy
2025-01-06,Downtown,Instagram,18,12.33,221.94,6,Sunny
2025-01-06,Downtown,Food Delivery Apps,32,14.96,478.72,3,Rainy
2025-01-06,Downtown,Local Events,25,12.9,322.5,11,Sunny
2025-01-06,Downtown,Google My Business,28,11.1,310.8,12,Cloudy
2025-01-06,Downtown,Loyalty Program,3,15.16,45.48,0,Sunny
2025-01-06,Downtown,Influencer Partnerships,26,11.72,304.72,5,Cloudy
2025-01-06,Downtown,Email Newsletter,21,12.9,270.9,4,Rainy
2025-01-06,Uptown,Instagram,11,14.64,161.04,4,Sunny
2025-01-06,Uptown,Food Delivery Apps,25,12.64,316.0,7,Sunny
2025-01-06,Uptown,Local Events,9,9.88,88.92,1,Sunny
2025-01-06,Uptown,Google My Business,22,14.88,327.36,4,Sunny
2025-01-06,Uptown,Loyalty Program,22,6.7,147.4,8,Sunny
2025-01-06,Uptown,Influencer Partnerships,21,8.88,186.48,5,Sunny
2025-01-06,Uptown,Email Newsletter,22,16.0,352.0,6,Sunny
2025-01-06,Midtown,Instagram,19,17.36,329.84,3,Rainy
2025-01-06,Midtown,Food Delivery Apps,6,16.76,100.56,2,Rainy
2025-01-06,Midtown,Local Events,7,10.79,75.53,3,Cloudy
2025-01-06,Midtown,Google My Business,22,13.36,293.92,7,Rainy
2025-01-06,Midtown,Loyalty Program,24,13.5,324.0,6,Rainy
2025-01-06,Midtown,Influencer Partnerships,13,12.4,161.2,1,Cloudy
2025-01-06,Midtown,Email Newsletter,8,17.88,143.04,1,Rainy
2025-01-06,Suburbia,Instagram,33,20.08,662.64,14,Cloudy
2025-01-06,Suburbia,Food Delivery Apps,10,10.91,109.1,3,Cloudy
2025-01-06,Suburbia,Local Events,14,14.27,199.78,6,Sunny
2025-01-06,Suburbia,Google My Business,32,15.83,506.56,11,Rainy
2025-01-06,Suburbia,Loyalty Program,15,12.0,180.0,3,Cloudy
2025-01-06,Suburbia,Influencer Partnerships,18,12.94,232.92,7,Sunny
2025-01-06,Suburbia,Email Newsletter,2,14.95,29.9,0,Cloudy
2025-01-06,Riverside,Instagram,26,8.03,208.78,9,Rainy
2025-01-06,Riverside,Food Delivery Apps,11,11.94,131.34,4,Sunny
2025-01-06,Riverside,Local Events,13,11.29,146.77,3,Sunny
2025-01-06,Riverside,Google My Business,23,13.6,312.8,2,Cloudy
2025-01-06,Riverside,Loyalty Program,8,10.92,87.36,2,Cloudy
2025-01-06,Riverside,Influencer Partnerships,6,11.83,70.98,2,Sunny
2025-01-06,Riverside,Email Newsletter,15,9.06,135.9,3,Cloudy
2025-01-07,Downtown,Instagram,9,10.37,93.33,1,Cloudy
2025-01-07,Downtown,Food Delivery Apps,24,10.49,251.76,10,Rainy
2025-01-07,Downtown,Local Events,17,13.88,235.96,5,Rainy
2025-01-07,Downtown,Google My Business,23,14.32,329.36,10,Rainy
2025-01-07,Downtown,Loyalty Program,23,9.41,216.43,3,Sunny
2025-01-07,Downtown,Influencer Partnerships,29,12.35,358.15,5,Rainy
2025-01-07,Downtown,Email Newsletter,14,7.73,108.22,5,Rainy
2025-01-07,Uptown,Instagram,3,14.19,42.57,0,Sunny
2025-01-07,Uptown,Food Delivery Apps,13,15.57,202.41,5,Sunny
2025-01-07,Uptown,Local Events,6,9.22,55.32,1,Rainy
2025-01-07,Uptown,Google My Business,24,11.84,284.16,5,Sunny
2025-01-07,Uptown,Loyalty Program,13,12.58,163.54,3,Cloudy
2025-01-07,Uptown,Influencer Partnerships,10,9.5,95.0,3,Sunny
2025-01-07,Uptown,Email Newsletter,30,11.66,349.8,5,Cloudy
2025-01-07,Midtown,Instagram,7,16.7,116.9,0,Rainy
2025-01-07,Midtown,Food Delivery Apps,35,15.27,534.45,11,Cloudy
2025-01-07,Midtown,Local Events,24,15.65,375.6,3,Cloudy
2025-01-07,Midtown,Google My Business,18,10.89,196.02,7,Sunny
2025-01-07,Midtown,Loyalty Program,5,10.55,52.75,2,Rainy
2025-01-07,Midtown,Influencer Partnerships,16,11.05,176.8,6,Cloudy
2025-01-07,Midtown,Email Newsletter,10,15.77,157.7,3,Sunny
2025-01-07,Suburbia,Instagram,18,12.17,219.06,4,Sunny
2025-01-07,Suburbia,Food Delivery Apps,26,12.18,316.68,11,Cloudy
2025-01-07,Suburbia,Local Events,15,17.84,267.6,3,Rainy
2025-01-07,Suburbia,Google My Business,20,14.1,282.0,7,Rainy
2025-01-07,Suburbia,Loyalty Program,31,8.74,270.94,11,Cloudy
2025-01-07,Suburbia,Influencer Partnerships,29,13.47,390.63,8,Sunny
2025-01-07,Suburbia,Email Newsletter,9,11.63,104.67,3,Sunny
2025-01-07,Riverside,Instagram,24,7.83,187.92,3,Sunny
2025-01-07,Riverside,Food Delivery Apps,17,11.68,198.56,3,Sunny
2025-01-07,Riverside,Local Events,20,14.45,289.0,7,Rainy
2025-01-07,Riverside,Google My Business,17,8.32,141.44,1,Sunny
2025-01-07,Riverside,Loyalty Program,21,16.14,338.94,8,Sunny
2025-01-07,Riverside,Influencer Partnerships,5,12.23,61.15,1,Cloudy
2025-01-07,Riverside,Email Newsletter,24,12.11,290.64,11,Sunny
2025-01-08,Downtown,Instagram,14,9.4,131.6,1,Sunny
2025-01-08,Downtown,Food Delivery Apps,40,12.92,516.8,17,Sunny
2025-01-08,Downtown,Local Events,25,13.86,346.5,7,Sunny
2025-01-08,Downtown,Google My Business,18,9.68,174.24,6,Rainy
2025-01-08,Downtown,Loyalty Program,31,14.43,447.33,11,Rainy
2025-01-08,Downtown,Influencer Partnerships,27,14.14,381.78,11,Sunny
2025-01-08,Downtown,Email Newsletter,19,9.75,185.25,5,Sunny
2025-01-08,Uptown,Instagram,32,11.15,356.8,15,Sunny
2025-01-08,Uptown,Food Delivery Apps,20,12.7,254.0,3,Sunny
2025-01-08,Uptown,Local Events,12,10.19,122.28,4,Rainy
2025-01-08,Uptown,Google My Business,16,13.39,214.24,7,Cloudy
2025-01-08,Uptown,Loyalty Program,28,15.64,437.92,11,Rainy
2025-01-08,Uptown,Influencer Partnerships,33,14.21,468.93,14,Sunny
2025-01-08,Uptown,Email Newsletter,8,8.67,69.36,3,Sunny
2025-01-08,Midtown,Instagram,28,7.57,211.96,5,Rainy
2025-01-08,Midtown,Food Delivery Apps,7,12.68,88.76,2,Cloudy
2025-01-08,Midtown,Local Events,3,15.88,47.64,0,Cloudy
2025-01-08,Midtown,Google My Business,12,14.54,174.48,4,Sunny
2025-01-08,Midtown,Loyalty Program,29,14.23,412.67,5,Cloudy
2025-01-08,Midtown,Influencer Partnerships,20,11.93,238.6,2,Sunny
2025-01-08,Midtown,Email Newsletter,12,14.16,169.92,2,Sunny
2025-01-08,Suburbia,Instagram,23,6.76,155.48,7,Sunny
2025-01-08,Suburbia,Food Delivery Apps,20,13.69,273.8,5,Cloudy
2025-01-08,Suburbia,Local Events,8,9.59,76.72,2,Sunny
2025-01-08,Suburbia,Google My Business,32,14.15,452.8,10,Cloudy
2025-01-08,Suburbia,Loyalty Program,16,10.76,172.16,5,Rainy
2025-01-08,Suburbia,Influencer Partnerships,31,12.69,393.39,13,Cloudy
2025-01-08,Suburbia,Email Newsletter,33,14.0,462.0,8,Rainy
2025-01-08,Riverside,Instagram,13,8.61,111.93,5,Sunny
2025-01-08,Riverside,Food Delivery Apps,8,14.4,115.2,1,Cloudy
2025-01-08,Riverside,Local Events,5,13.74,68.7,1,Rainy
2025-01-08,Riverside,Google My Business,14,10.83,151.62,4,Sunny
2025-01-08,Riverside,Loyalty Program,10,8.39,83.9,3,Rainy
2025-01-08,Riverside,Influencer Partnerships,19,9.2,174.8,4,Cloudy
2025-01-08,Riverside,Email Newsletter,18,10.37,186.66,2,Cloudy
2025-01-09,Downtown,Instagram,22,15.59,342.98,7,Rainy
2025-01-09,Downtown,Food Delivery Apps,21,12.83,269.43,4,Sunny
2025-01-09,Downtown,Local Events,19,11.72,222.68,2,Rainy
2025-01-09,Downtown,Google My Business,7,17.68,123.76,1,Cloudy
2025-01-09,Downtown,Loyalty Program,8,9.22,73.76,3,Rainy
2025-01-09,Downtown,Influencer Partnerships,26,11.55,300.3,11,Sunny
2025-01-09,Downtown,Email Newsletter,21,13.08,274.68,3,Rainy
2025-01-09,Uptown,Instagram,29,11.57,335.53,6,Rainy
2025-01-09,Uptown,Food Delivery Apps,24,6.99,167.76,6,Rainy
2025-01-09,Uptown,Local Events,25,14.02,350.5,7,Sunny
2025-01-09,Uptown,Google My Business,23,12.75,293.25,5,Cloudy
2025-01-09,Uptown,Loyalty Program,7,12.2,85.4,2,Rainy
2025-01-09,Uptown,Influencer Partnerships,22,16.67,366.74,3,Rainy
2025-01-09,Uptown,Email Newsletter,15,14.17,212.55,2,Rainy
2025-01-09,Midtown,Instagram,3,12.67,38.01,1,Rainy
2025-01-09,Midtown,Food Delivery Apps,13,14.09,183.17,3,Rainy
2025-01-09,Midtown,Local Events,13,8.87,115.31,4,Rainy
2025-01-09,Midtown,Google My Business,20,14.3,286.0,2,Cloudy
2025-01-09,Midtown,Loyalty Program,21,12.95,271.95,10,Rainy
2025-01-09,Midtown,Influencer Partnerships,11,11.49,126.39,1,Rainy
2025-01-09,Midtown,Email Newsletter,8,14.0,112.0,2,Sunny
2025-01-09,Suburbia,Instagram,17,19.37,329.29,4,Rainy
2025-01-09,Suburbia,Food Delivery Apps,16,15.14,242.24,1,Rainy
2025-01-09,Suburbia,Local Events,27,14.79,399.33,2,Sunny
2025-01-09,Suburbia,Google My Business,20,12.83,256.6,3,Rainy
2025-01-09,Suburbia,Loyalty Program,23,9.14,210.22,3,Cloudy
2025-01-09,Suburbia,Influencer Partnerships,23,8.92,205.16,5,Sunny
2025-01-09,Suburbia,Email Newsletter,17,12.38,210.46,4,Cloudy
2025-01-09,Riverside,Instagram,10,13.35,133.5,4,Cloudy
2025-01-09,Riverside,Food Delivery Apps,35,13.12,459.2,13,Rainy
2025-01-09,Riverside,Local Events,23,12.23,281.29,8,Rainy
2025-01-09,Riverside,Google My Business,17,15.26,259.42,2,Cloudy
2025-01-09,Riverside,Loyalty Program,19,12.77,242.63,7,Cloudy
2025-01-09,Riverside,Influencer Partnerships,13,17.67,229.71,5,Sunny
2025-01-09,Riverside,Email Newsletter,13,10.09,131.17,2,Cloudy
2025-01-10,Downtown,Instagram,27,16.4,442.8,9,Rainy
2025-01-10,Downtown,Food Delivery Apps,7,13.35,93.45,2,Rainy
2025-01-10,Downtown,Local Events,2,10.38,20.76,0,Cloudy
2025-01-10,Downtown,Google My Business,18,8.23,148.14,3,Rainy
2025-01-10,Downtown,Loyalty Program,18,17.0,306.0,7,Rainy
2025-01-10,Downtown,Influencer Partnerships,17,10.57,179.69,8,Sunny
2025-01-10,Downtown,Email Newsletter,31,15.28,473.68,12,Sunny
2025-01-10,Uptown,Instagram,31,11.41,353.71,14,Cloudy
2025-01-10,Uptown,Food Delivery Apps,9,9.98,89.82,2,Sunny
2025-01-10,Uptown,Local Events,13,11.75,152.75,5,Sunny
2025-01-10,Uptown,Google My Business,7,17.32,121.24,1,Sunny
2025-01-10,Uptown,Loyalty Program,14,10.91,152.74,4,Rainy
2025-01-10,Uptown,Influencer Partnerships,35,14.26,499.1,11,Sunny
2025-01-10,Uptown,Email Newsletter,20,14.2,284.0,7,Cloudy
2025-01-10,Midtown,Instagram,32,7.22,231.04,12,Rainy
2025-01-10,Midtown,Food Delivery Apps,7,11.87,83.09,2,Rainy
2025-01-10,Midtown,Local Events,22,9.95,218.9,8,Cloudy
2025-01-10,Midtown,Google My Business,21,16.09,337.89,6,Cloudy
2025-01-10,Midtown,Loyalty Program,11,10.67,117.37,1,Sunny
2025-01-10,Midtown,Influencer Partnerships,22,17.68,388.96,9,Rainy
2025-01-10,Midtown,Email Newsletter,4,11.3,45.2,1,Sunny
2025-01-10,Suburbia,Instagram,27,13.04,352.08,7,Cloudy
2025-01-10,Suburbia,Food Delivery Apps,13,9.99,129.87,4,Sunny
2025-01-10,Suburbia,Local Events,31,17.39,539.09,13,Rainy
2025-01-10,Suburbia,Google My Business,18,15.37,276.66,5,Cloudy
2025-01-10,Suburbia,Loyalty Program,2,14.59,29.18,0,Rainy
2025-01-10,Suburbia,Influencer Partnerships,12,15.37,184.44,1,Sunny
2025-01-10,Suburbia,Email Newsletter,17,12.25,208.25,5,Sunny
2025-01-10,Riverside,Instagram,40,12.13,485.2,10,Cloudy
2025-01-10,Riverside,Food Delivery Apps,28,11.82,330.96,12,Rainy
2025-01-10,Riverside,Local Events,20,9.62,192.4,6,Rainy
2025-01-10,Riverside,Google My Business,11,12.92,142.12,2,Cloudy
2025-01-10,Riverside,Loyalty Program,34,7.19,244.46,9,Rainy
2025-01-10,Riverside,Influencer Partnerships,16,8.99,143.84,2,Cloudy
2025-01-10,Riverside,Email Newsletter,14,3.88,54.32,4,Cloudy
2025-01-11,Downtown,Instagram,9,10.69,96.21,3,Rainy
2025-01-11,Downtown,Food Delivery Apps,14,13.91,194.74,5,Cloudy
2025-01-11,Downtown,Local Events,22,12.2,268.4,4,Sunny
2025-01-11,Downtown,Google My Business,21,11.89,249.69,4,Cloudy
2025-01-11,Downtown,Loyalty Program,25,16.98,424.5,3,Rainy
2025-01-11,Downtown,Influencer Partnerships,20,11.69,233.8,2,Rainy
2025-01-11,Downtown,Email Newsletter,17,5.23,88.91,4,Cloudy
2025-01-11,Uptown,Instagram,26,15.15,393.9,9,Sunny
2025-01-11,Uptown,Food Delivery Apps,37,7.81,288.97,14,Cloudy
2025-01-11,Uptown,Local Events,14,10.91,152.74,4,Cloudy
2025-01-11,Uptown,Google My Business,16,10.3,164.8,7,Cloudy
2025-01-11,Uptown,Loyalty Program,23,10.07,231.61,3,Sunny
2025-01-11,Uptown,Influencer Partnerships,8,11.15,89.2,2,Sunny
2025-01-11,Uptown,Email Newsletter,14,18.53,259.42,1,Cloudy
2025-01-11,Midtown,Instagram,27,10.56,285.12,11,Sunny
2025-01-11,Midtown,Food Delivery Apps,22,12.32,271.04,3,Sunny
2025-01-11,Midtown,Local Events,11,12.32,135.52,5,Cloudy
2025-01-11,Midtown,Google My Business,18,10.29,185.22,2,Cloudy
2025-01-11,Midtown,Loyalty Program,24,16.43,394.32,11,Cloudy
2025-01-11,Midtown,Influencer Partnerships,14,10.8,151.2,3,Sunny
2025-01-11,Midtown,Email Newsletter,14,16.06,224.84,3,Cloudy
2025-01-11,Suburbia,Instagram,24,14.11,338.64,3,Rainy
2025-01-11,Suburbia,Food Delivery Apps,30,15.0,450.0,13,Sunny
2025-01-11,Suburbia,Local Events,22,11.22,246.84,3,Rainy
2025-01-11,Suburbia,Google My Business,23,11.9,273.7,7,Cloudy
2025-01-11,Suburbia,Loyalty Program,8,9.01,72.08,1,Cloudy
2025-01-11,Suburbia,Influencer Partnerships,19,16.06,305.14,7,Cloudy
